scenario,expected_revert,tx_hash,receipt_status,source
non_police_createRecord,not police,0xfbb7b1024ae022bd500d78e056b2bb900ffecc6735f73b7040a23a7615346850,0x16,negative-cases/s4.4-manifest.jsonl
non_judge_approve,not judge,0xb6fe8f8528b485c0eeacf616556f1ece1b4d5a0d6016d47db32ae56d619fcbef,0x16,negative-cases/s4.4-manifest.jsonl
execute_without_approve,not approved,0xcef50b91470c780e6145ed6b306f1f034fdccca2e494c40f7e81bb2e380cb2cc,0x16,negative-cases/s4.4-manifest.jsonl
duplicate_proposalId,proposal exists,0xa417e41477d9d06402d1898af011381402e92b035377a0ce074dc78e4d06243c,0x16,negative-cases/s4.4-manifest.jsonl
self_approve,self approve,0x95daf0c2c131cd0b61c64d660c4454f73bc71d437db62b4f6654a6be94ccc31c,0x16,negative-cases/s4.4-manifest.jsonl
non_proposer_execute,not proposer,0x835098f5212eef7b1912bbd337e8a84545d1e07c1d12e5ad7c8b1bcb655dcf79,0x16,negative-cases/s4.4-manifest.jsonl
